word,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
absolute,0,0.00592558,0,0.007197086,0.003970404,0.003984782,0.003961054,0.003630511,0.001874689,0.002292865,0.001622084,0.001941053,0.007448127,0,0,0,0.001857719,0,0.005706969,0.002293496,0,0,0.005718567,0.001854181,0,0.001944721,0.006100145,0.004059936,0.004588612,0.00272113,0.004396622,0.00328905,0,0,0.002737905,0.003238591,0.005619631,0.009318783,0.002942247,0,0,0,0,0,0,0.002826933,0.002724218,0.005567151,0,0,0.002728455
absolutely,0,0.002150633,0.002165619,0.001959085,0,0.002169358,0.00431288,0.001976489,0.002041201,0.00249652,0.005298478,0.00211346,0.00608226,0.00205589,0.00174677,0,0,0,0.00207129,0.002497207,0.002546783,0.002135374,0.004150999,0,0,0.008469815,0,0,0,0.002962824,0,0.003581188,0.003226968,0.00299241,0,0.003526247,0,0,0.003203581,0,0,0,0,0,0,0,0.011864747,0.003030817,0.005892852,0,0
absolutes,0,0,0.005821791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
absolve,0,0,0.008639474,0,0,0,0,0,0,0,0,0,0,0.004100861,0,0,0,0,0,0,0,0.004259408,0,0,0.004421147,0,0,0,0,0,0,0,0,0,0,0,0,0.006746366,0,0,0,0,0,0,0,0,0,0,0,0,0
absorb,0,0,0,0,0.004864899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005731978,0,0,0,0,0,0,0,0,0.00666835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
absorbed,0,0,0,0.003907767,0,0,0,0.003942482,0,0,0,0,0,0.004100861,0,0,0,0,0,0,0,0,0.004139977,0.004027024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
absorbing,0,0,0.004874101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004661797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006821378,0,0,0
absorbs,0.027453712,0,0,0,0.004101221,0,0,0,0.003872911,0.00473682,0,0,0,0,0,0.003298868,0,0.003738616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
absorption,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004100861,0,0.003468075,0,0,0,0,0,0,0,0,0.004421147,0,0,0,0,0,0,0,0,0,0,0,0.006102528,0,0,0,0,0,0,0,0,0,0,0,0,0.012177912,0
abstain,0,0.003739317,0,0,0,0.003771875,0,0,0,0.004340714,0.003070831,0,0.003525087,0,0,0.006046015,0,0,0.003601364,0,0,0,0,0,0,0,0,0.003843013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstained,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005526808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstention,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004695808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract,0,0,0,0,0,0.003377869,0,0,0,0,0.002750055,0,0,0,0.002719864,0,0.003149548,0,0,0,0.003965551,0,0,0,0,0,0,0,0,0,0.003726982,0,0,0.009318857,0,0,0,0,0,0,0.004225281,0,0,0,0.00530855,0.004792739,0,0,0.009175655,0,0
abstractions,0,0,0,0,0,0,0.005245102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008226425,0,0,0,0,0,0,0,0,0,0,0,0,0
abstruse,0,0,0,0,0,0,0,0,0.005487321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
absurd,0,0,0.003372047,0.003050457,0.00336568,0.003377869,0.003357754,0,0,0,0,0,0.009470579,0.003201189,0,0,0,0,0.003225169,0,0,0,0,0,0,0,0,0,0.007779462,0,0,0.005576204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004625781
absurdity,0,0,0,0,0,0,0,0,0,0,0,0,0.00456306,0,0,0,0,0.004434774,0,0.005620398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abuja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008014007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abundance,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004100861,0,0,0,0,0,0,0.005080042,0,0,0,0,0,0,0,0.004982913,0,0,0.007143358,0,0,0,0,0,0,0,0,0,0,0,0.005821407,0,0,0,0,0,0,0
abundant,0,0.004537395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007555574,0,0,0,0,0,0,0,0,0,0,0,0.006157338,0,0,0,0,0.006216356,0,0
abundantly,0,0,0,0,0,0,0,0,0,0,0.007045879,0.004215697,0,0.004100861,0,0,0,0,0,0,0.005080042,0.008518817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abuse,0,0,0.001988957,0,0.001985202,0.001992391,0,0,0,0,0,0,0.003724063,0,0,0.001596822,0,0.016287143,0.003804646,0.004586992,0.002339028,0,0,0.003708363,0.002035649,0.005834163,0.004066763,0.004059936,0.004588612,0.010884519,0.002198311,0.00328905,0.002963726,0.005496604,0.008213716,0.003238591,0.002809816,0,0.005884494,0.003325578,0,0.002980925,0.002966372,0,0.003131178,0.002826933,0.01362109,0.005567151,0.008118207,0,0
abused,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003727464,0,0,0,0.003572504,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00649293,0.005850707,0,0.005404913,0,0,0,0,0,0,0,0,0,0.006181275,0,0,0,0,0,0.005386258
abuses,0,0,0.003977914,0.001799272,0,0.001992391,0,0,0,0,0,0,0.007448127,0.001888179,0.006417103,0.003193644,0.003715438,0.001809683,0.007609292,0.006880488,0,0,0,0.007416725,0.002035649,0.005834163,0.004066763,0.002029968,0.002294306,0.005442259,0,0,0,0.002748302,0.002737905,0.003238591,0.002809816,0.003106261,0.005884494,0,0.002492226,0.008942776,0.005932744,0.005360756,0.006262356,0.002826933,0.008172654,0,0,0,0.005456911
abusing,0,0,0,0,0,0,0,0,0,0,0,0,0.00456306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00666835,0,0,0,0,0,0,0,0,0.007210215,0,0,0,0,0,0,0,0,0,0,0,0
abusive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006076095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007371846,0,0,0
abyei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007294888,0,0,0,0,0,0,0,0,0,0
abyss,0,0.004289845,0,0,0,0,0,0,0,0,0,0,0.004044074,0,0,0,0.008069413,0.003930378,0,0,0,0.004259408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abyssal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009627239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
academia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005371796,0,0,0,0.005425437,0,0,0,0,0,0,0,0,0,0,0.006181275,0,0.005377893,0.010990141,0.005342065,0,0.005386258
academic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004428107,0,0,0,0,0,0,0,0,0.005151479,0.00832342,0,0,0,0,0,0.005319374,0.011761173,0,0,0,0.005643309,0,0,0,0,0,0.005269698,0,0,0.005165348
accede,0.018826059,0,0.005635366,0,0,0.002822548,0.002805741,0.005143213,0,0,0,0,0.002637873,0,0,0,0,0.002563712,0.002694952,0.006498225,0,0,0,0,0,0,0.005761236,0.002875782,0.00325026,0,0,0.004659478,0,0.00778684,0.003878691,0,0.003980564,0,0,0,0,0,0,0.003797194,0,0,0,0,0,0,0
acceded,0,0,0,0,0,0.002983863,0.002966094,0.002718579,0,0,0,0.002906978,0,0,0,0.002391447,0,0,0.005697948,0.006869612,0.003502996,0,0,0,0,0.005824941,0,0,0,0.004075243,0,0.004925776,0,0.004115937,0.008200733,0,0,0,0,0,0,0,0,0.004014212,0,0.004233697,0,0,0,0,0
acceding,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004337506,0,0.003668204,0,0,0,0,0,0,0,0,0,0,0,0,0.005270458,0,0,0,0,0.012626746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
